kolibiBird,0.0000,-15.0000
SEG-16-QR-SOLO,15.2434,39.7501
URL,15.2435,16.4996
SEG-16-QR,15.2434,39.0151
designedMadeAssembled,15.2500,45.0000
FCCID,-15.2565,31.1754
OSHW,-22.7566,35.1758
CE,-22.7566,38.6974
WEEE,-17.3716,36.5002
FCC,-12.5270,38.5002
UL,-7.7396,38.5002
copyright,-9.7854,34.7770
CERN-OHL-S v2.0,-9.7854,33.5663
designer,-9.7854,35.9877
label,0.0000,-21.0000
